Nome Fantasia,Razão Social,CNPJ,Código CNES,Município,UF,CEP,Telefone,Email,Leitos,Atende SUS?,Atende Convênio?
HOSPITAL RISOLETA TOLENTINO NEVES,FUNDACAO DESENVOLVIMENTO DA PESQUISA FUNDEP,,0027863,BELO HORIZONTE,MG,31744012,34593200,dirgeral@hrtn.fundep.ufmg.br,433,1,0
PRONTO CORDIS,PRONTO CORDIS SC LTDA,,2709511,CATAGUASES,MG,36772014,(32)34298000,montes@cataguasesnet.com.br,68,1,0
HOSPITAL SAO SEBASTIAO DE SABINOPOLIS,ASSOCIACAO DE CARIDADE HOSPITAL SAO SEBASTIAO,,2135914,SABINOPOLIS,MG,39750000,(33)34231311,hospisaosebastiao@yahoo.com.br,43,1,0
INSTITUTO DE OLHOS DE BELO HORIZONTE,HCE ASSISTENCIA MEDICA LTDA,,0027901,BELO HORIZONTE,MG,30130090,31 33729943,atendimento@iobh.com.br,11,0,0
FHASP PAINEIRAS,FUNDACAO HAS DA COMUNIDADE PAINEIRAS,,2126869,PAINEIRAS,MG,35622000,(37)35451153,,12,1,0
HOSPITAL ASSISTENCIAL MANOEL SIMOES CAXITO,HOSPITAL ASSISTENCIAL MANOEL SIMOES CAXITO,24891418000102,2140179,SAO ROMAO,MG,39290000,(38)3624 - 1362,smssaoromao@yahoo.com.br,18,1,0
FHAP FUNDACAO HOSPITALAR DR AFONSO PAVIE,FUNDACAO HOSPITALAR DR AFONSO PAVIE FHAP,,2135930,ITAMARANDIBA,MG,39670000,38 35211284,itasaude@yahoo.com.br,60,1,0
PHDPACE HOSPITAL LTDA,PHD PACE HOSPITAL LTDA,,0027928,BELO HORIZONTE,MG,30110062,,,18,0,0
SANTA CASA DE CAMPO BELO,SANTA CASA DE MISERICORDIA SAO VICENTE DE PAULO,,2192020,CAMPO BELO,MG,37270000,(35) 38317800,corpoclinico@santacasadecampobelo.com.br,125,1,0
HOSPITAL MARGARIDA,ASSOCIACAO SAO VICENTE DE PAULO DE JOAO MONLEVADE MG,,2709848,JOAO MONLEVADE,MG,35930437,(31)38523144,,136,1,0
HOSPITAL CRISTO REI,FUNDACAO DE SAUDE DE MONTALVANIA,,2119439,MONTALVANIA,MG,39495000,(38) 3614-1252,saudemontalvania@hotmail.com,34,1,0
HOSPITAL DR ODILON DE ANDRADE DE MARTINHO CAMPOS,FUNDACAO HOSPITALAR AURELIANO CAMPOS BRANDAO,,2144182,MARTINHO CAMPOS,MG,35606000,037-3524.1271,faturamento.drodilonandrade@gmail.com,18,1,0
SANTA CASA DE MISERICORDIA DE MAR DE ESPANHA,SOCIEDADE DE CARIDADE DE MAR DE ESPANHA,,2796775,MAR DE ESPANHA,MG,36640000,3276 1224,casamichel@sjnetonline.com.br,39,1,1
HOSPITAL E MATERNIDADE VIRGILIO ROSA LTDA,HOSPITAL E MATERNIDADE VIRGILIO ROSA LTDA,,2206498,MONTE CARMELO,MG,38500000,,,44,1,0
CENTRO MATERNO INFANTIL,SERVICO SOCIAL AUTONOMO SSA CONTAGEM,,2191164,CONTAGEM,MG,32341000,31 87897877,eduardocspenna@gmail.com,213,1,0
HOSPITAL SAO JOAO,ASSOCIACAO CARIDADE SAO JOAO NEPOMUCENO,,2796619,SAO JOAO NEPOMUCENO,MG,36680081,(32)32611500,hsjn@ig.com.br,44,1,0
HOSPITAL MUNICIPAL SAO JOSE DE ARCOS,PREFEITURA MUNICIPAL DE ARCOS,18306662000150,6365612,ARCOS,MG,35600262,037.3351.4872/1918,diretoriapa.saude@arcos.mg.gov.br,15,1,0
HOSPITAL DE CAMPANHA DO MUNICIPIO DE VARGINHA HCMUV,PREFEITURA MUNICIPAL DE VARGINHA,18240119000105,0103993,VARGINHA,MG,37048395,03532227845,andreza.r.fernandes@hotmail.com,50,1,0
HOSPITAL DE CAMPANHA COVID19 RIBEIRAO DAS NEVES,HOSPITAL DE CAMPANHA COVID19 RIBEIRAO DAS NEVES,18314609000109,0118427,RIBEIRAO DAS NEVES,MG,33940010,3136273670,supervisoradasaude@gmail.com,39,1,0
HOSPITAL PUBLICO REGIONAL PREFEITO OSVALDO REZENDE FRANCO,MUNICIPIO DE BETIM,18715391000196,2126494,BETIM,MG,32671602,31.35398100,bioestatisticabetim@gmail.com,425,1,0
HOSPITAL FREI CAETANO E MATSANTA TEREZA PARAISOPOLIS,HOSPITAL FREI CAETANO E MATERNIDADE SANTA TEREZA,,2127695,PARAISOPOLIS,MG,37660000,(35)36511121,fcaetano@paraisopolis.com.br,50,1,0
HOSPITAL MUNICIPAL DE SANTA JULIANA,PREFEITURA MUNICIPAL DE SANTA JULIANA,18140780000130,2180731,SANTA JULIANA,MG,38175000,(34) 3354-1059,faturamento@santajuliana.mg.gov.br,42,1,0
CASA DE CARIDADE SAO VICENTE DE PAULO,CASA DE CARIDADE SAO VICENTE DE PAULO,,2161702,MIRAI,MG,36790000,(32)34261362,hospitalmirai@hotmail.com,40,1,0
HWSM,HOSPITAL WILKINSON DE SOUZA MEIRELES,,2161583,MIRADOURO,MG,36893000,(32)37531192,hospitaldemiradouro@ig.com.br,51,0,0
HOSPITAL EVANGELICO DE MANTENA,HOSPITAL EVANGELICO DE MANTENA,,2099217,MANTENA,MG,35290000,(33)32411512,contato.hem@hotmail.com,42,1,0
HOSPITAL SAO SEBASTIAO,HOSPITAL SAO SEBASTIAO LTDA,,2146096,ARAGUARI,MG,38440238,34-32498100,hospitalsaosebastiao@yahoo.com.br,36,0,0
HEAL,INSTITUTO ASSISTENCIAL ESPIRITA ANDRE LUIZ,,0027812,BELO HORIZONTE,MG,30570000,31 31152600,,160,0,1
AISI HOSPITAL DE CLINICAS DE ITAJUBA,ASSOCIACAO DE INTEGRACAO SOCIAL DE ITAJUBA,21040696000150,2208857,ITAJUBA,MG,37500080,35 36297600,fabio.montanari@medicinaitajuba.com.br,152,1,0
HOSPITAL SAO JOSE DE NOVA SERRANA,FUNDACAO HOSPITALAR SAO VICENTE DE PAULA,,2143801,NOVA SERRANA,MG,35520226,37-3228.2800,hsjns@digimaster.com.br,69,1,0
HOSPITAL SAO VICENTE DE PAULO,SERVICOS DE OBRAS SOCIAIS DE LAMBARI,,5279003,LAMBARI,MG,37480000,35 3271-1011,"hsvp.lambari@yahoo.com.br,",50,1,0
HOSPITAL UNIMED SAO DOMINGOS,UNIMED UBERABA COOPERATIVA DE TRABALHO MEDICO LTDA,,9745041,UBERABA,MG,38025110,34 33182230,controladoria@unimeduberaba.com.br,100,0,0
HOSPITAL SAO GABRIEL,SANTA CASA DE MISERICORDIA DE PASSA TEMPO,,2144174,PASSA TEMPO,MG,35537000,037-3335-1250,hospsgabriel@yahoo.com.br,19,1,0
HOSPITAL NOSSA SENHORA DA CONCEICAO,IRMANDADE NOSSA SENHORA DA CONCEICAO DE PARA DE MINAS,,2206064,PARA DE MINAS,MG,35660033,37 32335400,,141,1,0
ASSOCIACAO SANTA ROSA,ASSOCIACAO ASSISTENCIAL DE SAUDE E LACTARIO NOSSA SENHORA AP,,7774788,VISCONDE DO RIO BRANCO,MG,36520000,(32)3551-1750,santarosa.vrb@gmail.com,34,0,0
MADRECOR HOSPITAL,HAPVIDA ASSISTENCIA MEDICA S A,,3597156,UBERLANDIA,MG,38408186,34 3230-6000,andersonsouza@hapvida.com.br,45,0,0
HOSPITAL JULIA KUBITSCHEK,ASSISTENCIA SOCIAL DE RIO PIRACICABA,,2144611,RIO PIRACICABA,MG,35940000,(31)38541222,hospitaljk.adm@gmail.com,32,1,0
HOSPITAL DAS CLIN SAMUEL LIBANIO POUSO ALEGRE,FUNDACAO ENSINO SUPERIOR DO VALE DO SAPUCAI,23951916000122,2127989,POUSO ALEGRE,MG,37553079,(35)34293200,secretaria@hcsl.edu.br,340,1,0
HOSPITAL MUNICIPAL DE PIRAPETINGA,FUNDACAO MUNICIPAL DE SAUDE DE PIRAPETINGA,21187075000101,2195224,PIRAPETINGA,MG,36730000,(32) 3465 - 1227,hospitalmunicipaldepirapetinga@yahoo.com.br,34,1,0
HOSPITAL SAO DOMINGOS,PREFEITURA MUNICIPAL DE VIRGEM DA LAPA,18348730000143,2134306,VIRGEM DA LAPA,MG,39630000,(33)37361225,,39,1,0
SANTA CASA DE MISERICORDIA SAO VICENTE DE PAULO,SANTA CASA DE MISERICORDIA SAO VICENTE DE PAULO,,2776014,POUSO ALTO,MG,37468000,,,27,1,0
HOSPITAL MUNICIPAL DARCI JOSE FERNANDES,PREF MUN DE PRESIDENTE OLEGARIO,18602060000140,2101432,PRESIDENTE OLEGARIO,MG,38750000,(34)38111467,pmpo@acipatos.org.br,18,1,0
HOSPITAL OLYNTO ALMADA,HOSPITAL OLYNTO ALMADA DA SSVP,,2122103,ASTOLFO DUTRA,MG,36780000,(32)34511342,olynthoalmada@ig.com,26,1,0
HOSPITAL DE CAMPANHA COVID 19 UPA CHIQUINHO GUIMARAES,MUNICIPIO DE MONTES CLAROS,22678874000135,0278513,MONTES CLAROS,MG,39403238,,,60,1,0
CIC CENTRO DE INTERNACAO CLINICA,MUNICIPIO DE UBERLANDIA,18431312001359,0270865,UBERLANDIA,MG,38412306,,,72,1,0
SANTA CASA DE MISERICORDIA DE PITANGUI,IRMANDADE DE SANTA CASA DE MISERICORDIA DE PITANGUI,,2142406,PITANGUI,MG,35650000,37-3271.4012,stacasa@geo-rede.com.br,50,1,0
CLINICA DE TRANSICAO PAULO DE TARSO,REDE PAULO DE TARSO,,2695375,BELO HORIZONTE,MG,31255190,34485300,diretoria@apt.org.br,112,1,0
HOSPITAL DOUTOR HELIO ANGOTTI,ASSOCIACAO DE COMBATE AO CANCER DO BRASIL CENTRAL,,2165058,UBERABA,MG,38065065,34 33189907,contabilidade@helioangotti.com.br,75,1,1
HOSPITAL DE CAMPANHA COVID 19 COROMANDEL,PREFEITURA DE COROMANDEL,18591149000158,0519987,COROMANDEL,MG,38550000,,,19,1,0
HOSPITAL DE CAMPANHA COVID19 DE BRUMADINHO,MUNICIPIO DE BRUMADINHO,18363929000140,0105449,BRUMADINHO,MG,35460000,,,4,1,0
HOSPITAL SAO LUCAS,CLINICA MED MAIS LTDA,,0101435,SALINAS,MG,39560000,3838413131,administracao@hospitalsaolucasdesalinas.com.br,10,0,0
HOSPITAL SANTA CASA DE MONTES CLAROS,IRMANDADE NOSSA SENHORA DAS MERCES DE MONTES CLAROS,,2149990,MONTES CLAROS,MG,39400103,38 32292000,santacasa@santacasamontesclaros.com.br,410,1,1
HEMODIN,HEMODIN SERVICOS MEDICOS LTDA,,9495185,UBERLANDIA,MG,38411186,34 3235-9011,virtual@virtualservicos.com.br,16,0,1
HOSPITAL EVANGELICO DE BELO HORIZONTE,ASSOCIACAO EVANGELICA BENEFICENTE DE MINAS GERAIS,,0026808,BELO HORIZONTE,MG,30220330,31 32733926,,162,1,0
HOSPITAL DE CAMPANHA COVID 19 SANTA CRUZ,MUNICIPIO DE CARMO DO PARANAIBA,18602029000109,0650471,CARMO DO PARANAIBA,MG,38842076,,,8,1,0
HOSPITAL AMPARA,AMPARA ASSISTENCIA HOSPITALAR SOCIEDADE LTDA,,9325603,SAO SEBASTIAO DO PARAISO,MG,37950000,(35) 3539-3600,"ampara@ampara.com.br, contabil@ampara.com.br",12,0,0
HOSPITAL SAO JOSE DE BICAS,ASSOCIACAO CARIDADE SAO JOSE DE BICAS,,2760886,BICAS,MG,36600000,(32) 3271-1191,hsjbicas@hotmail.com,31,1,0
HOSPITAL SAO SEBASTIAO DE RAUL SOARES,HOSPITAL SAO SEBASTIAO DE RAUL SOARES,,2168553,RAUL SOARES,MG,35350000,0033 33511108,hospital@signet.com.br,49,1,1
ONCOBIO SERVICOS DE SAUDE S A,ONCOBIO SERVICOS DE SAUDE S A,,9621903,NOVA LIMA,MG,34006059,31 33088043,nure@oncoclinicas.com,22,0,1
HOSPITAL M SAO DOMINGOS NA PROVIDENCIA DE DEUS,ASSOCIACAO LAR SAO FRANCISCO DE ASSIS NA PROVIDENCIA DE DEUS,,7647891,UBERABA,MG,38025110,34 33189200,administracao.hmsd@alsf.org.br,114,0,0
HOSPITAL SANTO ANTONIO,IRMANDADE SANTO ANTONIO DE CURVELO,,2178559,CURVELO,MG,35790381,(38)37212111,administracao@hospitalsantoantonio.org.br,91,1,0
HOSPITAL UNIMED TRES PONTAS,UNIMED DE TRES PONTAS COOPERATIVA DE TRABALHO MEDICO,,9676481,TRES PONTAS,MG,37190000,,,15,0,0
HOSPITAL UNIMED PRONTO ATENDIMENTO,UNIMED POCOS DE CALDAS SOC COOPERATIVA DETRABALHOSERVMEDICOS,,3582647,POCOS DE CALDAS,MG,37701528,37293300,hospital@unimedpc.com.br,101,0,0
SANTA CASA DE SABARA,SANTA CASA DE MISERICORDIA DE SABARA,,2117282,SABARA,MG,34505500,36715444,administracao@santacasasabara.org.br,58,1,1
HOSPITAL SAO LUCAS,HOSPITAL SAO LUCAS PARACATU LTDA,,3010104,PARACATU,MG,38606002,(38)36715432,saolucas@ada.com.br,36,0,0
HOSPITAL UNIVERSITARIO SAGRADA FAMILIA,SOCIEDADE BENEFICENTE SAGRADA FAMILIA,,9681752,ARAGUARI,MG,38446833,3435123512,,359,1,0
HOSPITAL MUNICIPAL DE FREI INOCENCIO,HOSPITAL MUNICIPAL DE FREI INOCENCIO,,5625882,FREI INOCENCIO,MG,35112000,,dfcentrosaudefi@hotmail.com,16,1,0
HOSPITAL MUNICIPAL DR OSWALDO PREDILIANO SANTANA,PREFEITURA MUNICIPAL DE SALINAS,24359333000170,2204649,SALINAS,MG,39560000,(38)38411014,hospitalmunicipal@salinas.mg.gov.br,69,1,0
NUCLEO OFTALMOLOGICO DR RIMACK FILHO,NUCLEO OFTALMOLOGICO DR RIMACK FILHO LTDA,,5112133,GOVERNADOR VALADARES,MG,35010030,33 30214040,nucleooftalmo@gmail.com,2,1,1
HOSPITAL ACTUAL,ACTUAL HOSPITAL LTDA,,3017362,PATOS DE MINAS,MG,38700190,,,14,0,0
HOSPITAL E MATERNIDADE DR EUGENIO GOMES DE CARVALHO,INSTITUTO NACIONAL DE DESENVOLVIMENTO SOCIAL E HUMANO INDS,,2154560,PEDRO LEOPOLDO,MG,33250006,,fiscal.pl@indsh.org.br,30,1,0
SANTA CASA DE ARCOS,SANTA CASA DE ARCOS,,2168693,ARCOS,MG,35588000,037.3359.7230,santacasa@twister.com.br,50,1,0
HOSPITAL MUNICIPAL DONA ROSALINA FLAUSINA DE SOUZA,PREF MUN DE GUARDA MOR,18277947000100,2118076,GUARDA-MOR,MG,38570000,(38)36731405,,19,1,0
HOSPITAL METROPOLITANO PRO SAUDE,PRO SAUDE ASSOCIACAO BENEFICENTE DE ASSISTENCIA SOCIAL E H,,7869223,CORONEL FABRICIANO,MG,35170970,,,85,0,0
HOSPITAL E MATERNIDADE MUNICIPAL DR ODELMO LEAO CARNEIRO,PREFEITURA MUNICIPAL DE UBERLANDIA,18431312001359,6601804,UBERLANDIA,MG,38410651,34-32535600,admpessoal.hmmu@gmail.com,251,1,0
HOSPITAL UNIVERSITARIO DA UFJF,EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES EBSERH,21195755000169,2218798,JUIZ DE FORA,MG,36038330,(32)4009-5354,ucpia.hu-ufjf@ebserh.gov.br,154,1,0
FSFX O S S HOSPITAL MUNICIPAL CARLOS CHAGAS,FUNDACAO SAO FRANCISCO XAVIER,,2218690,ITABIRA,MG,35900595,31 38391629,hmcc-gersecaocontabilidade@fsfx.com.br,119,1,0
HOSPITAL SANTANA DE GUARACIABA,HOSPITAL SANTANA DE GUARACIABA,,2213958,GUARACIABA,MG,35436000,(31)38935136,hospitalsantanadeguaraciaba@yahoo.com.br,23,1,0
HOSPITAL MUNICIPAL JOAO AMELIO FREIRE,PREFEITURA MUNICIPAL DE CONCEICAO DA APARECIDA,18243295000192,2167565,CONCEICAO DA APARECIDA,MG,37148000,,,19,1,0
HOSPITAL REGIONAL IMACULADA CONCEICAO,ASSOCIACAO DE CARIDADE NOSSA SENHORA DO CARMO,,2144530,GUANHAES,MG,39740000,(33)34211747,hic@hic.org.br,102,1,1
HOSPITAL SANTANA LTDA,HOSPITAL SANTANA LTDA,,2695383,BELO HORIZONTE,MG,30431045,(31)33328077,hospitalsantana_bh@hotmail.com,42,0,0
HOSPITAL FELICIO ROCHO,FUNDACAO FELICE ROSSO,,0026859,BELO HORIZONTE,MG,30110934,(31)3514-7117,diretoria.clinica@feliciorocho.org.br,417,1,0
HOSPITAL JORGE CAETANO DE MATTOS,HOSPITAL JORGE CAETANO DE MATTOS,,2161729,ERVALIA,MG,36555000,35541919,hjcmervalia@ig.com.br,16,1,0
AHSVPI,ASSOCIACAO HOSPITALAR SAO VICENTE DE PAULO DE IPANEMA,,2761270,IPANEMA,MG,36950000,(33)33141262,hmsvp.ipanema@hotmail.com,50,1,0
SANTA CASA DE ITAGUARA,SANTA CASA DE MISERICORDIA DE ITAGUARA,,2142627,ITAGUARA,MG,35488000,031.3184-1666,scmita@conquet.com.br,45,1,0
HOSPITAL SAO VICENTE DE PAULA,HOSPITAL SAO VICENTE DE PAULA,,2796376,CARMO DO RIO CLARO,MG,37150000,(35-3561-1677,hsaovicente@minasturbo.com.br,30,1,0
SARZEDO HOSPITAL CAMPANHA COVID 19,PREFEITURA MUNICIPAL DE SARZEDO,01612509000158,0651109,SARZEDO,MG,32450000,3135777030,saude@sarzedo.mg.gov.br,37,1,0
HOSPITAL MATER DEI SA BETIM,HOSPITAL MATER DEI SA,,9696733,BETIM,MG,32673440,31.3339-9221,felipeligorio@materdei.com.br,77,0,0
HOSPITAL SANTA CATARINA ANEXO HMMDOLC,MUNICIPIO DE UBERLANDIA,18431312001359,2151855,UBERLANDIA,MG,38400434,(34)32330300,walid.makin@hmmdolc.spdm.org.br,87,1,0
SANTA CASA DE MISERICORDIA DE ITAJUBA,SANTA CASA DE MISERICORDIA DE ITAJUBA,,2127687,ITAJUBA,MG,37501059,,administracao@santacasaitajuba.com.br,70,1,0
INSTITUTO DE OLHOS DO LESTE DE MINAS,BOECHAT E MEDICOS ASSOCIADOS LTDA,,2200252,GOVERNADOR VALADARES,MG,35010090,033 2712101,,4,0,0
CASA DE SAUDE XAVIER LTDA,CASA DE SAUDE XAVIER LTDA,,2138956,BARBACENA,MG,36200044,(32)33315570,,30,0,0
CASA DE CARIDADE DE MURIAE HOSPITAL SAO PAULO,HOSPITAL SAO PAULO,,4042085,MURIAE,MG,36880103,03237293700,diretoria@hsp.org.br,224,1,0
HOSPITAL NOSSA SENHORA DOS ANJOS,ASSOCIACAO HOSPITALAR NOSSA SENHORA DOS ANJOS,,2185563,ITAMBACURI,MG,39830000,(33)35111366,hsvpitambacuri@hotmail.com,54,1,0
SANTA CASA DE MISERICORDIA DE CORINTO,SANTA CASA DE MISERICORDIA DE CORINTO,,2178540,CORINTO,MG,39200000,(38)37511196,,52,1,0
HOSPITAL SAO FRANCISCO DE ASSIS,ASSOCIACAO RIOVERDENSE DE ASSISTENCIA E PROMOCAO HUMANA,,2760827,CONCEICAO DO RIO VERDE,MG,37430000,(35)33351535,,34,1,0
SANTA CASA DE MISERICORDIA DE AREADO,SANTA CASA DE MISERICORDIA DE AREADO,,2168421,AREADO,MG,37140000,(35)32931255,santacasadeareado@yahoo.com.br,16,1,0
HOSPITAL SAO JOAO DO PARAISO,FUNDACAO DE SAUDE DE SAO JOAO DO PARAISO,,2795299,SAO JOAO DO PARAISO,MG,39540000,(38)38321125,,49,1,0
SANTA CASA DE PERDIZES,SANTA CASA DE MISERICORDIA DR ALMEIDA MACHADO PERDIZES,,2166305,PERDIZES,MG,38170000,(34) 3663-1233,santacasadeperdizes@yahoo.com.br,19,1,0
SANTA CASA DE SANTO ANTONIO DO AMPARO,HOSPITAL SAO SEBASTIAO,,2192128,SANTO ANTONIO DO AMPARO,MG,37262000,(35)38633900,contatohrss@gmail.com,57,1,0
HOSPITAL MUNICIPAL ELPIDIO RODRIGUES PINTO,PREFEITURA MUNICIPAL DE DELFINOPOLIS,17894064000186,6569803,DELFINOPOLIS,MG,37910000,(35) 3525-1122,hospital@delfinopolis.mg.gov.br,20,1,0
HOSPITAL SAO JOAO EVANGELISTA,FUNDACAO MUNICIPAL DE SAUDE DE SAO JOAO EVANGELISTA,,2102765,SAO JOAO EVANGELISTA,MG,39705000,,,49,1,1
HOSPITAL E MATERNIDADE RENASCER,ASS BEN AMIGOS HOSPITAL,,2145685,PRATA,MG,38140000,(34)34311239,hospitalrenascer@netsite.com.br,29,1,0
HOSPITAL E MATERNIDADE DE TIMOTEO,MUNICIPIO DE TIMOTEO,19875020000134,2140217,TIMOTEO,MG,35180320,3138499500,administrativo.f19@hmtjmg.org.br,65,1,1
HOSPITAL METROPOLITANO ODILON BEHRENS HOB,HOSPITAL METROPOLITANO ODILON BEHRENS HOB,,2192896,BELO HORIZONTE,MG,31110430,(31)32776181,hobsuper@pbh.gov.br,561,1,0
HOSPITAL SAO VICENTE DE PAULO,HSVP ADMINISTRACAO E SERVICOS EM SAUDE LTDA,,2118629,GOVERNADOR VALADARES,MG,35010110,33 32714482,faturamentohsvp@hotmail.com,50,1,0
HOSPITAL NOSSA SENHORA DAS GRACAS,IRMANDADE DE NOSSA SENHORA DAS GRACAS,,2206528,SETE LAGOAS,MG,35701007,3121076000,insg@insg.org.br,186,1,1
HOSPITAL MONSENHOR MARCIANO,SANTA CASA DE MISERICORDIA DE STA RITA DE JACUTINGA,,2796570,SANTA RITA DE JACUTINGA,MG,36135000,(32)32911219,hospitalsrj@ihotmail.com,21,1,0
HOSPITAL SANTO ANTONIO LTDA,HOSPITAL SANTO ANTONIO LTDA,,2146088,ARAGUARI,MG,38440062,(34)32491400,hospsant@outlook.com,49,1,0
HOSPITAL MATER DEI S A MATRIZ,HOSPITAL MATER DEI S A,,0027995,BELO HORIZONTE,MG,30190081,33399000,luciana.silva@materdei.com.br,268,0,0
HOSPITAL MUNICIPAL DR RAIMUNDO GOBIRA,PREFEITURA MUNICVIPAL DE TEOFILO OTONI,18404780000109,2211254,TEOFILO OTONI,MG,39803025,(33)35292300,,72,1,0
HOSPITAL MUNICIPAL NOSSA SENHORA DA LAPA,PREFEITURA MUNICIPAL DE VAZANTE,18278069000147,2118092,VAZANTE,MG,38780000,(34)3813 7300,,37,1,0
HOSPITAL SANTA ISABEL,ASSOCIACAO BENEFICENTE CATOLICA,,2195437,UBA,MG,36507140,(32)35391188,rosangela@santaisabelsaude.com.br,152,1,0
HOSPITAL MUNICIPAL MADALENA P CALIXTO,MUNICIPIO DE SANTA LUZIA,18715409000150,2164280,SANTA LUZIA,MG,33010200,3136496867,hospitalmunicipal@santaluzia.mg.gov.br,71,1,0
IRMANDADE DA SANTA CASA DE MISERICORDIA DE CAMANDUCAIA,IRMANDADE DA SANTA CASA DE MISERICORDIA DE CAMANDUCAIA,,2127725,CAMANDUCAIA,MG,37650000,(35)3433-1414,stacasacamanducaia@gmail.com,23,1,0
SANTA CASA DE MISERICORDIA DE GUAPE,SANTA CASA DE MISERICORDIA DE GUAPE,,2146479,GUAPE,MG,37177000,(35)3856-1183,santacasaminhacausa@hotmail.com,29,1,0
INSTITUTO DE OTORRINOLARINGOLOGIA DE MINAS GERAIS LTDA,INSTITUTO DE OTORRINOLARINGOLOGIA DE MINAS GERAIS LTDA,,0027782,BELO HORIZONTE,MG,30130007,031 3194-0050,,28,0,0
HOSPITAL BOM PASTOR,FUNDACAO HOSPITALAR DO MUNICIPIO DE VARGINHA,,2761092,VARGINHA,MG,37014460,(35)36063300,diretoria@hospitalhbp.com.br,112,1,0
HCI ITUIUTABA CARDIOS CIENCIAS LTDA,H C I ITUIUTABA CARDIOS CIENCIAS LTDA,,7362919,ITUIUTABA,MG,38300070,(034)3268-2222,ituiutaba@hec.med.br,1,0,1
HOSPITAL MUNICIPAL DE CONSELHEIRO LAFAIETE,MUNICIPIO DE CONSELHEIRO LAFAIETE,19718360000151,0107689,CONSELHEIRO LAFAIETE,MG,36400059,984361304,,50,1,0
SANTA CASA DE ABADIA DOS DOURADOS,SANTA CASA DE MISERICORDIA ABADIA DOS DOURADOS,,2775948,ABADIA DOS DOURADOS,MG,38540000,(34)38471224,santacasa.abadia@bol.com.br,17,1,0
HOSPITAL JOAO PAULO II,PREFEITURA MUNICIPAL DE ARAPORA,23098510000149,2760916,ARAPORA,MG,38465000,(34)32849551,,14,1,0
COMPLEXO HOSPITALAR SAO FRANCISCO,FUNDACAO HOSPITALAR SAO FRANCISCO DE ASSIS FHSFA,,0026840,BELO HORIZONTE,MG,31110580,31 21261500,gestaofinanceiro@saofrancisco.org.br,304,1,0
HOSPITAL ARAPIARA,HOSPITAL ARAPIARA SA,,0028037,BELO HORIZONTE,MG,30110001,(31)32183300,arapiara@arapiara.com.br,10,0,0
SOCOR,HOSPITAL SOCOR SA,,0026824,BELO HORIZONTE,MG,30110072,03133303179,qualidade@socor.com.br,118,1,0
HOSPITAL DR MOISES MAGALHAES FREIRE,FUNDACAO HOSPITALAR DR MOISES MAGALHAES FREIRE,,2119528,PIRAPORA,MG,39272106,(38)37401079,contato@fundacaodrmoises.com.br,137,1,0
BH HOSPITAL GOVERNADOR ISRAEL PINHEIRO HGIP,INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO MG,,6575560,BELO HORIZONTE,MG,30130110,32372400,gehosp.hgip@.mg.gov.br,311,0,1
HOSPITAL E MATERNIDADE GECY GOMES,HOSPITAL E MATERNIDADE GECY R GOMES S A,,2109980,NANUQUE,MG,39860000,33 36214900,,25,0,0
HOSPITAL DO CANCER DE PATROCINIO DR JOSE FIGUEIREDO,CENTRO ONCOLOGICO DR OCACYR DE SIQUEIRA,,3218813,PATROCINIO,MG,38740100,(34)3831-9797,hospitaldocancerpatrocinio@gmail.com,3,1,0
HOSPITAL E MATERNIDADE SANTA MONICA,HOSPITAL E MATERNIDADE SANTA MONICA S A,,2159376,DIVINOPOLIS,MG,35502562,37 21025600,bruno@hsm.med.br,118,0,0
HOSPITAL E MATERN SAO LUCAS DE EXTREMA,HOSPITAL E MATERNIDADE SAO LUCAS DE EXTREMA LTDA,,2127881,EXTREMA,MG,37640436,(35)34351333,,44,1,1
HOSPITAL E CLINICA SANTA PAULA,HOSPITAL E CLINICAS SANTA PAULA LTDA,,3050297,POUSO ALEGRE,MG,37550001,,,57,0,0
HOSPITAL DA CRIANCA,ASSOCIACAO BENEFICENTE DA CRIANCA ABC,,2695332,BELO HORIZONTE,MG,30431020,31-21058900,faturamento@abcbh.com.br,65,1,0
MATERNIDADE ODETE VALADARES,FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS,19843929000100,0026972,BELO HORIZONTE,MG,30110064,313298-6002,mov.gerencia@fhemig.mg.gov.br,151,1,0
SARAH BELO HORIZONTE,ASSOCIACAO DAS PIONEIRAS SOCIAIS,,3004791,BELO HORIZONTE,MG,30510000,(31)33792600,cncq@sarah.br,130,1,0
SANTA CASA MIS CARIDADE DE CAMPESTRE,SANTA CASA MIS CARIDADE DE CAMPESTRE,,2205009,CAMPESTRE,MG,37730000,(35)37431329,,46,1,0
HOSPITAL SAO VICENTE DE PAULA,HOSPITAL SAO VICENTE DE PAULO,,2796384,CAMPOS GERAIS,MG,37160000,(35)39631282,hospitalsvp@cangere.com.br,51,1,0
OURO PRETO SANTA CASA DE OURO PRETO,IRMANDADE DA SANTA CASA DE MISERICORDIA DE OURO PRETO,,2163829,OURO PRETO,MG,35402278,(31)35511133,secretaria@santacasaouropreto.com.br,136,1,0
HOSPITAL UNIMED TRES CORACOES,UNIMED TRES CORACOES COOPERATIVA DE TRAB MEDICO LTDA,,7919468,TRES CORACOES,MG,37417254,,,49,0,0
